"","Municipio","Año","Subtipo.de.delito","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","Total"
"802","Villa Purificación",2015,"Violencia familiar",0,0,1,0,1,0,0,0,0,1,0,0,3
"803","Yahualica de González Gallo",2015,"Violencia familiar",1,2,2,1,0,0,1,0,1,1,0,2,11
"804","Zacoalco de Torres",2015,"Violencia familiar",1,0,0,1,2,0,1,0,1,1,2,0,9
"805","Zapopan",2015,"Violencia familiar",54,75,83,93,102,112,121,138,208,332,283,225,1826
"806","Zapotiltic",2015,"Violencia familiar",3,0,1,1,1,2,1,1,1,0,1,0,12
"807","Zapotitlán de Vadillo",2015,"Violencia familiar",0,0,0,1,0,0,0,0,0,0,0,1,2
"808","Zapotlanejo",2015,"Violencia familiar",2,0,0,1,1,0,0,0,3,4,1,2,14
"809","Zapotlán del Rey",2015,"Violencia familiar",0,0,0,0,0,0,0,1,0,0,0,0,1
"810","Zapotlán el Grande",2015,"Violencia familiar",9,4,11,6,6,9,6,4,2,1,4,5,67
"811","Acatic",2016,"Abuso sexual",0,0,0,0,0,1,1,0,0,0,0,1,3
"812","Acatlán de Juárez",2016,"Abuso sexual",1,0,0,1,0,0,0,0,0,0,0,1,3
"813","Ahualulco de Mercado",2016,"Abuso sexual",0,0,0,1,1,0,0,0,1,0,0,0,3
"814","Amacueca",2016,"Abuso sexual",0,0,0,0,0,2,0,0,0,0,0,0,2
"815","Amatitán",2016,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"816","Ameca",2016,"Abuso sexual",0,0,2,2,1,3,0,0,1,1,1,2,13
"817","Arandas",2016,"Abuso sexual",1,0,2,2,1,2,0,2,2,0,1,1,14
"818","Atemajac de Brizuela",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"819","Atengo",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"820","Atenguillo",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"821","Atotonilco el Alto",2016,"Abuso sexual",1,0,1,0,1,0,0,0,1,1,0,2,7
"822","Atoyac",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"823","Autlán de Navarro",2016,"Abuso sexual",0,2,3,0,8,5,1,4,0,1,1,1,26
"824","Ayotlán",2016,"Abuso sexual",2,0,0,0,0,0,0,0,0,0,0,2,4
"825","Ayutla",2016,"Abuso sexual",0,0,0,1,0,0,0,1,0,0,0,1,3
"826","Bolaños",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"827","Cabo Corrientes",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"828","Casimiro Castillo",2016,"Abuso sexual",0,1,0,1,1,1,0,1,0,1,1,1,8
"829","Cañadas de Obregón",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"830","Chapala",2016,"Abuso sexual",1,2,0,3,2,2,1,2,0,0,1,1,15
"831","Chimaltitán",2016,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"832","Chiquilistlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"833","Cihuatlán",2016,"Abuso sexual",2,0,2,3,0,2,1,0,1,2,0,1,14
"834","Cocula",2016,"Abuso sexual",0,0,0,0,0,2,0,1,1,1,0,1,6
"835","Colotlán",2016,"Abuso sexual",0,1,0,0,2,0,0,1,0,1,2,1,8
"836","Concepción de Buenos Aires",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"837","Cuautitlán de García Barragán",2016,"Abuso sexual",0,0,0,0,0,1,1,0,1,0,1,0,4
"838","Cuautla",2016,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"839","Cuquío",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"840","Degollado",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"841","Ejutla",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"842","El Arenal",2016,"Abuso sexual",0,0,0,0,0,0,0,2,0,1,0,2,5
"843","El Grullo",2016,"Abuso sexual",0,0,0,1,1,1,1,0,0,1,0,0,5
"844","El Limón",2016,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"845","El Salto",2016,"Abuso sexual",4,1,3,6,4,6,3,6,6,4,7,9,59
"846","Encarnación de Díaz",2016,"Abuso sexual",0,0,0,1,1,0,0,0,4,1,1,0,8
"847","Etzatlán",2016,"Abuso sexual",0,0,0,1,0,0,0,0,0,1,0,0,2
"848","Guachinango",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"849","Guadalajara",2016,"Abuso sexual",34,23,27,52,62,40,32,37,38,52,29,51,477
"850","Gómez Farías",2016,"Abuso sexual",1,0,0,0,0,0,0,0,1,1,0,0,3
"851","Hostotipaquillo",2016,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,1,2
"852","Huejuquilla el Alto",2016,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"853","Huejúcar",2016,"Abuso sexual",0,0,0,0,0,0,1,0,0,0,0,0,1
"854","Ixtlahuacán de los Membrillos",2016,"Abuso sexual",1,1,3,2,2,3,5,2,3,3,2,5,32
"855","Ixtlahuacán del Río",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"856","Jalostotitlán",2016,"Abuso sexual",0,1,0,2,0,1,0,0,0,0,0,1,5
"857","Jamay",2016,"Abuso sexual",0,0,0,1,1,1,1,0,0,0,0,0,4
"858","Jesús María",2016,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"859","Jilotlán de los Dolores",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"860","Jocotepec",2016,"Abuso sexual",1,1,0,0,0,0,1,0,2,1,1,2,9
"861","Juanacatlán",2016,"Abuso sexual",1,1,0,2,0,1,0,0,0,0,1,0,6
"862","Juchitlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"863","La Barca",2016,"Abuso sexual",0,0,0,1,1,0,1,0,0,0,0,0,3
"864","La Huerta",2016,"Abuso sexual",0,0,0,1,0,0,0,0,1,0,2,0,4
"865","La Manzanilla de la Paz",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"866","Lagos de Moreno",2016,"Abuso sexual",1,1,0,2,5,4,0,2,0,1,3,1,20
"867","Magdalena",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"868","Mascota",2016,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"869","Mazamitla",2016,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"870","Mexticacán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"871","Mezquitic",2016,"Abuso sexual",0,1,0,1,2,0,0,1,0,0,0,0,5
"872","Mixtlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"873","No Especificado",2016,"Abuso sexual",7,4,8,30,10,14,12,7,12,31,4,10,149
"874","Ocotlán",2016,"Abuso sexual",2,2,0,1,2,4,1,4,3,3,0,1,23
"875","Ojuelos de Jalisco",2016,"Abuso sexual",0,0,0,0,0,0,1,1,0,0,0,1,3
"876","Pihuamo",2016,"Abuso sexual",0,0,0,1,1,0,0,0,0,0,0,0,2
"877","Poncitlán",2016,"Abuso sexual",1,0,2,0,1,0,0,1,2,0,1,0,8
"878","Puerto Vallarta",2016,"Abuso sexual",8,10,9,11,8,7,6,6,8,7,7,8,95
"879","Quitupan",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"880","San Cristóbal de la Barranca",2016,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,1,2
"881","San Diego de Alejandría",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"882","San Gabriel",2016,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,1,0,2
"883","San Ignacio Cerro Gordo",2016,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"884","San Juan de los Lagos",2016,"Abuso sexual",0,0,1,2,3,3,0,0,2,1,1,0,13
"885","San Juanito de Escobedo",2016,"Abuso sexual",0,0,0,1,0,1,0,0,1,1,0,0,4
"886","San Julián",2016,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"887","San Marcos",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"888","San Martín Hidalgo",2016,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,1,1,3
"889","San Martín de Bolaños",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"890","San Miguel el Alto",2016,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,2,3
"891","San Pedro Tlaquepaque",2016,"Abuso sexual",15,20,21,19,15,20,9,11,18,31,15,32,226
"892","San Sebastián del Oeste",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"893","Santa María de los Ángeles",2016,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"894","Santa María del Oro",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"895","Sayula",2016,"Abuso sexual",3,0,0,1,1,1,1,1,0,0,1,1,10
"896","Tala",2016,"Abuso sexual",1,0,0,2,2,0,1,7,1,2,2,4,22
"897","Talpa de Allende",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"898","Tamazula de Gordiano",2016,"Abuso sexual",0,0,3,0,1,1,0,1,1,0,1,0,8
"899","Tapalpa",2016,"Abuso sexual",1,0,0,0,0,1,1,0,0,0,0,0,3
"900","Tecalitlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"901","Techaluta de Montenegro",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"902","Tecolotlán",2016,"Abuso sexual",0,0,1,0,0,0,0,0,1,5,0,0,7
"903","Tenamaxtlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"904","Teocaltiche",2016,"Abuso sexual",1,0,0,0,0,1,0,1,2,0,1,0,6
"905","Teocuitatlán de Corona",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"906","Tepatitlán de Morelos",2016,"Abuso sexual",1,2,0,2,5,0,4,2,3,6,7,2,34
"907","Tequila",2016,"Abuso sexual",0,0,1,2,1,1,1,0,1,1,1,1,10
"908","Teuchitlán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"909","Tizapán el Alto",2016,"Abuso sexual",2,0,1,0,2,0,0,0,1,0,0,0,6
"910","Tlajomulco de Zúñiga",2016,"Abuso sexual",10,12,15,14,15,23,14,23,13,30,24,20,213
"911","Tolimán",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"912","Tomatlán",2016,"Abuso sexual",1,1,2,1,1,0,0,0,0,0,2,2,10
"913","Tonalá",2016,"Abuso sexual",12,15,17,23,16,12,11,13,14,29,13,30,205
"914","Tonaya",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"915","Tonila",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"916","Totatiche",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"917","Tototlán",2016,"Abuso sexual",0,0,1,1,0,0,1,0,0,0,0,0,3
"918","Tuxcacuesco",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"919","Tuxcueca",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"920","Tuxpan",2016,"Abuso sexual",0,0,0,1,0,1,2,1,0,2,0,1,8
"921","Unión de San Antonio",2016,"Abuso sexual",1,1,0,0,0,0,0,1,1,0,0,0,4
"922","Unión de Tula",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,1,2
"923","Valle de Guadalupe",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"924","Valle de Juárez",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"925","Villa Corona",2016,"Abuso sexual",0,0,0,0,0,1,0,1,1,0,0,0,3
"926","Villa Guerrero",2016,"Abuso sexual",0,0,0,0,1,1,0,0,0,0,0,0,2
"927","Villa Hidalgo",2016,"Abuso sexual",0,0,0,0,0,0,1,0,0,0,0,0,1
"928","Villa Purificación",2016,"Abuso sexual",1,0,0,0,1,0,0,1,0,1,0,1,5
"929","Yahualica de González Gallo",2016,"Abuso sexual",0,0,0,1,1,0,1,1,0,1,0,0,5
"930","Zacoalco de Torres",2016,"Abuso sexual",0,1,1,1,1,0,1,0,0,2,1,1,9
"931","Zapopan",2016,"Abuso sexual",27,30,37,32,36,34,23,23,35,33,32,45,387
"932","Zapotiltic",2016,"Abuso sexual",0,1,0,1,0,0,0,0,1,1,0,0,4
"933","Zapotitlán de Vadillo",2016,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"934","Zapotlanejo",2016,"Abuso sexual",0,0,1,0,0,0,1,2,3,2,0,1,10
"935","Zapotlán del Rey",2016,"Abuso sexual",0,0,1,0,1,0,0,1,2,1,0,1,7
"936","Zapotlán el Grande",2016,"Abuso sexual",0,3,3,3,2,1,4,4,1,3,3,0,27
"937","Acatic",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"938","Acatlán de Juárez",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"939","Ahualulco de Mercado",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"940","Amacueca",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"941","Amatitán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"942","Ameca",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"943","Arandas",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"944","Atemajac de Brizuela",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"945","Atengo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"946","Atenguillo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"947","Atotonilco el Alto",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"948","Atoyac",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"949","Autlán de Navarro",2016,"Acoso sexual",0,0,0,0,1,1,0,0,0,0,1,2,5
"950","Ayotlán",2016,"Acoso sexual",2,0,0,0,0,0,0,0,0,0,0,0,2
"951","Ayutla",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"952","Bolaños",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"953","Cabo Corrientes",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"954","Casimiro Castillo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"955","Cañadas de Obregón",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"956","Chapala",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"957","Chimaltitán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"958","Chiquilistlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"959","Cihuatlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"960","Cocula",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"961","Colotlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"962","Concepción de Buenos Aires",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"963","Cuautitlán de García Barragán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"964","Cuautla",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"965","Cuquío",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"966","Degollado",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"967","Ejutla",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"968","El Arenal",2016,"Acoso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"969","El Grullo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"970","El Limón",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"971","El Salto",2016,"Acoso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"972","Encarnación de Díaz",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"973","Etzatlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"974","Guachinango",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"975","Guadalajara",2016,"Acoso sexual",9,5,7,7,6,0,0,0,2,13,4,4,57
"976","Gómez Farías",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"977","Hostotipaquillo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"978","Huejuquilla el Alto",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"979","Huejúcar",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"980","Ixtlahuacán de los Membrillos",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"981","Ixtlahuacán del Río",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"982","Jalostotitlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"983","Jamay",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"984","Jesús María",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"985","Jilotlán de los Dolores",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"986","Jocotepec",2016,"Acoso sexual",0,0,0,0,1,0,0,0,0,0,0,1,2
"987","Juanacatlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"988","Juchitlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"989","La Barca",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"990","La Huerta",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"991","La Manzanilla de la Paz",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"992","Lagos de Moreno",2016,"Acoso sexual",0,1,0,1,2,0,0,0,0,0,0,0,4
"993","Magdalena",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"994","Mascota",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"995","Mazamitla",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"996","Mexticacán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"997","Mezquitic",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"998","Mixtlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"999","No Especificado",2016,"Acoso sexual",0,0,0,3,1,2,0,0,2,4,0,0,12
"1000","Ocotlán",2016,"Acoso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"1001","Ojuelos de Jalisco",2016,"Acoso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"1002","Pihuamo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1003","Poncitlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1004","Puerto Vallarta",2016,"Acoso sexual",0,2,3,1,0,0,1,4,1,2,1,0,15
"1005","Quitupan",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1006","San Cristóbal de la Barranca",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1007","San Diego de Alejandría",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1008","San Gabriel",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1009","San Ignacio Cerro Gordo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1010","San Juan de los Lagos",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1011","San Juanito de Escobedo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1012","San Julián",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1013","San Marcos",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1014","San Martín Hidalgo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1015","San Martín de Bolaños",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1016","San Miguel el Alto",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1017","San Pedro Tlaquepaque",2016,"Acoso sexual",2,3,3,2,0,0,0,0,1,4,0,2,17
"1018","San Sebastián del Oeste",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1019","Santa María de los Ángeles",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1020","Santa María del Oro",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1021","Sayula",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1022","Tala",2016,"Acoso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"1023","Talpa de Allende",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1024","Tamazula de Gordiano",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1025","Tapalpa",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1026","Tecalitlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1027","Techaluta de Montenegro",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1028","Tecolotlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1029","Tenamaxtlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1030","Teocaltiche",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1031","Teocuitatlán de Corona",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1032","Tepatitlán de Morelos",2016,"Acoso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"1033","Tequila",2016,"Acoso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"1034","Teuchitlán",2016,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"1035","Tizapán el Alto",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1036","Tlajomulco de Zúñiga",2016,"Acoso sexual",4,1,2,0,0,1,0,0,0,0,0,0,8
"1037","Tolimán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1038","Tomatlán",2016,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"1039","Tonalá",2016,"Acoso sexual",2,1,2,2,3,0,0,0,0,2,0,3,15
"1040","Tonaya",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1041","Tonila",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1042","Totatiche",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1043","Tototlán",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1044","Tuxcacuesco",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1045","Tuxcueca",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1046","Tuxpan",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1047","Unión de San Antonio",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1048","Unión de Tula",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1049","Valle de Guadalupe",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1050","Valle de Juárez",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1051","Villa Corona",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1052","Villa Guerrero",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1053","Villa Hidalgo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1054","Villa Purificación",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1055","Yahualica de González Gallo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1056","Zacoalco de Torres",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1057","Zapopan",2016,"Acoso sexual",11,5,5,8,8,1,1,0,2,7,0,2,50
"1058","Zapotiltic",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1059","Zapotitlán de Vadillo",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1060","Zapotlanejo",2016,"Acoso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"1061","Zapotlán del Rey",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"1062","Zapotlán el Grande",2016,"Acoso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"1063","Acatic",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1064","Acatlán de Juárez",2016,"Feminicidio",0,0,0,0,0,1,0,0,0,0,0,1,2
"1065","Ahualulco de Mercado",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1066","Amacueca",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1067","Amatitán",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1068","Ameca",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1069","Arandas",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1070","Atemajac de Brizuela",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1071","Atengo",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1072","Atenguillo",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1073","Atotonilco el Alto",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1074","Atoyac",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1075","Autlán de Navarro",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1076","Ayotlán",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1077","Ayutla",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1078","Bolaños",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1079","Cabo Corrientes",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"1080","Casimiro Castillo",2016,"Feminicidio",0,0,0,0,1,0,0,0,0,0,0,0,1
"1081","Cañadas de Obregón",2016,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
